Country,Year,Attack Type,Target Industry,Number of Affected Users,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours),Unified_Attack_Category,Unified_Industry,Continent,Nation_Wealth,West_or_East,Pandemic_Era,Is_Leap_Year
USA,2015,Phishing,Education,291727,Insider,Social Engineering,Encryption,31,Social Engineering,Education,North America,High Income,Western,Pre-Pandemic,False
Germany,2022,DDoS,IT,987652,Hacker Group,Social Engineering,VPN,72,Hacking/Intrusion,Technology,Europe,High Income,Western,Post-Pandemic,False
China,2022,Ransomware,Telecommunications,236284,Unknown,Social Engineering,Antivirus,38,Malware,Telecommunications,Asia,Upper-Middle Income,Eastern,Post-Pandemic,False
USA,2020,Man-in-the-Middle,Telecommunications,209853,Nation-state,Zero-day,VPN,1,Hacking/Intrusion,Telecommunications,North America,High Income,Western,Post-Pandemic,True
Australia,2020,DDoS,Retail,755621,Unknown,Zero-day,Antivirus,50,Hacking/Intrusion,Retail,Oceania,High Income,Western,Post-Pandemic,True
France,2015,SQL Injection,Retail,694844,Insider,Unpatched Software,Antivirus,43,Hacking/Intrusion,Retail,Europe,High Income,Western,Pre-Pandemic,False
France,2018,SQL Injection,Retail,795831,Nation-state,Unpatched Software,Encryption,61,Hacking/Intrusion,Retail,Europe,High Income,Western,Pre-Pandemic,False
Brazil,2020,DDoS,Retail,342253,Unknown,Weak Passwords,Encryption,22,Hacking/Intrusion,Retail,South America,Upper-Middle Income,Other/Unknown,Post-Pandemic,True
USA,2016,Phishing,Retail,638693,Nation-state,Weak Passwords,AI-based Detection,35,Social Engineering,Retail,North America,High Income,Western,Pre-Pandemic,True
USA,2018,Phishing,Banking,618616,Insider,Zero-day,VPN,51,Social Engineering,Finance,North America,High Income,Western,Pre-Pandemic,False
Brazil,2023,SQL Injection,Retail,774426,Hacker Group,Social Engineering,AI-based Detection,21,Hacking/Intrusion,Retail,South America,Upper-Middle Income,Other/Unknown,Post-Pandemic,False
Australia,2023,DDoS,Government,900661,Insider,Unpatched Software,Encryption,64,Hacking/Intrusion,Government,Oceania,High Income,Western,Post-Pandemic,False
India,2019,Phishing,Telecommunications,141627,Insider,Unpatched Software,AI-based Detection,64,Social Engineering,Telecommunications,Asia,Lower-Middle Income,Eastern,Pre-Pandemic,False
Germany,2024,Phishing,IT,845785,Unknown,Unpatched Software,VPN,69,Social Engineering,Technology,Europe,High Income,Western,Post-Pandemic,True
Australia,2015,Malware,Retail,120048,Insider,Zero-day,Antivirus,12,Malware,Retail,Oceania,High Income,Western,Pre-Pandemic,False
USA,2016,Malware,Retail,894935,Unknown,Social Engineering,AI-based Detection,31,Malware,Retail,North America,High Income,Western,Pre-Pandemic,True
Japan,2017,SQL Injection,Healthcare,277555,Unknown,Social Engineering,AI-based Detection,45,Hacking/Intrusion,Healthcare,Asia,High Income,Eastern,Pre-Pandemic,False
Australia,2024,Ransomware,Education,461012,Insider,Unpatched Software,AI-based Detection,38,Malware,Education,Oceania,High Income,Western,Post-Pandemic,True
Russia,2021,SQL Injection,Telecommunications,599291,Nation-state,Social Engineering,Firewall,55,Hacking/Intrusion,Telecommunications,Europe,Upper-Middle Income,Eastern,Post-Pandemic,False
Australia,2016,Man-in-the-Middle,Government,163602,Hacker Group,Unpatched Software,VPN,26,Hacking/Intrusion,Government,Oceania,High Income,Western,Pre-Pandemic,True
UK,2021,SQL Injection,Government,986196,Nation-state,Weak Passwords,Encryption,11,Hacking/Intrusion,Government,Europe,High Income,Western,Post-Pandemic,False
France,2024,Ransomware,Retail,349008,Nation-state,Zero-day,Encryption,20,Malware,Retail,Europe,High Income,Western,Post-Pandemic,True
Germany,2022,SQL Injection,Retail,559667,Unknown,Zero-day,Antivirus,69,Hacking/Intrusion,Retail,Europe,High Income,Western,Post-Pandemic,False
Russia,2018,DDoS,Healthcare,335628,Hacker Group,Weak Passwords,Antivirus,20,Hacking/Intrusion,Healthcare,Europe,Upper-Middle Income,Eastern,Pre-Pandemic,False
Germany,2016,Ransomware,Education,385363,Unknown,Unpatched Software,Firewall,22,Malware,Education,Europe,High Income,Western,Pre-Pandemic,True
USA,2021,Man-in-the-Middle,Education,945793,Insider,Zero-day,Firewall,32,Hacking/Intrusion,Education,North America,High Income,Western,Post-Pandemic,False
Russia,2016,SQL Injection,Telecommunications,595950,Nation-state,Social Engineering,AI-based Detection,11,Hacking/Intrusion,Telecommunications,Europe,Upper-Middle Income,Eastern,Pre-Pandemic,True
Japan,2022,DDoS,Education,756722,Nation-state,Weak Passwords,VPN,15,Hacking/Intrusion,Education,Asia,High Income,Eastern,Post-Pandemic,False
Australia,2024,Ransomware,Government,594424,Hacker Group,Social Engineering,Antivirus,54,Malware,Government,Oceania,High Income,Western,Post-Pandemic,True
China,2015,Malware,Retail,457790,Hacker Group,Zero-day,Encryption,39,Malware,Retail,Asia,Upper-Middle Income,Eastern,Pre-Pandemic,False
China,2024,Ransomware,Telecommunications,549337,Unknown,Social Engineering,Antivirus,63,Malware,Telecommunications,Asia,Upper-Middle Income,Eastern,Post-Pandemic,True
France,2023,Malware,Healthcare,714681,Unknown,Unpatched Software,Firewall,34,Malware,Healthcare,Europe,High Income,Western,Post-Pandemic,False
India,2022,Malware,Government,849745,Hacker Group,Social Engineering,Antivirus,51,Malware,Government,Asia,Lower-Middle Income,Eastern,Post-Pandemic,False
